social_song_id,track_id
1750,0z4GaZaZcXdm6bFhAcSLrh
2956,0vB4Vd6PtkJSEnWsmqATnZ
2563,1AW7yQdxxSHoDU2Y1bqRnj
1265,7gikOCfWiAPFjFwKHYEdRA
1003,0I1fxd7VhhX5dxECspsoCw
1406,0XtnQ3xDaXImAfeS0K1SkC
1166,4riu4aBQtqszCfyX2dbF7d
2033,3lhFjWmGDqeTnWYXHEPbJ9
2066,0AIHKTpBT2SudN5CTz9b0e
1715,4x1xGv6TpdIJ3AK1DmhOQV
1483,0lxuHPUmNOiHLfzvJojYb1
3841,6yaihZ7YizWwJ61Cu6Kktl
2650,0YZEYxd1oiqZRFhnnmTKKi
1147,5bttUhX2smfy7urwlidPfG
1740,3EhYcwk816pZUe2tasRLT5
1032,1FJswUXEo8jr5E1zLjjClr
4325,3Z7CaxQkqbIs1rewKi6v4W
1589,0ztqey3VhIZ3WINFu8kCo1
2643,4SJyLviu2l3JGreqdcTfYY
1762,3kUq4sBcmxhnOtNysZ9yrp
1890,4yffABDkB5A9flvr9vQFck
4412,1cUq9SX7nQL1u0kKyhT7lX
3352,2stGgw6LUM5fNWWG08SudV
2045,7hEJQsARNIqoEvNTUs9gZ1
3138,025aQi6Ffw676y8m4zLPk7
1635,7MyJB1WvzUmbIQpwqLmvY6
1400,1yJWqYYDQge60nZKdLyiZU
1186,4KCbZcshgibfJSCAkg87Lv
1293,4KmcshOoqSPpyr6XJ0wsNR
3684,0RywTYPLSmDNiVOwzo0K1h
1106,3LNBwCPuBbL2oz8KMzROpF
1532,0mszeXZFLWHTS6a4UoJ8rn
2577,6vUssnJuFxgw1EFG717Kd5
2047,24nK8tW7Pt3Inh2utttuoG
2381,0cmU8GRcNiJ15pZqrmg02Q
3173,3A9x6yHdlP1H5BY5Pz3l7P
1083,6k5QsifpMWtY5ilnzBZ0u4
2501,4qnrsi3w3WiFwGsLxQbOv3
3984,29bXfCo3mQVzohwPJXohaU
4687,6uNFIMxbvOwQku3vew2kZ3
4187,5t3LIycK7lAXshCf5eSjig
2222,1kcYfi1mkfhnJYntYSi9gb
3428,1QpSeLx3XbPAyjYAAe12w0
2514,4qBq1eZ3gIPaGGjPobJmUg
3178,2Cf1c7Hi8QQyK4fI6CnGUR
2678,2UC5XnHA1Wn9FjQmbjNca9
2151,6YkoLoloyKV14kg87C2c10
2232,0R7EWhquaAICmyE5MZqt3q
2554,2BEcap3xJtmiPaHKyfQi4e
71398,3L4SkcXhs1r1zeTi3gskdp
1277,7hn8Q8WAxFdL4aZ159GI7C
4037,2FgOerSqb5rXX86KDVRZRT
4969,2YDZ9UrAuUsLPreezYKcVJ
2861,50ehFCyLYlNKJ9e5YXfqs0
2867,3idqWaBn3mRdsIodCU6uBi
1596,42TMa2hgBNjte4uV7jNCnQ
5038,0zFhoECet3vpCJ4xACjPqK
7608,6TqNnUzRyR3qbms7iv4r8e
3723,1uiFLTLOag5fygswmc88YK
1249,11XWPGHeK0e82Jmtu56G4R
4313,6QvYtv8VV9UFX4RsFBKxqK
3685,4jcIsQPXUXp866w3lT5AzO
2369,2aHz87L2Z4a0ZEQ7vMlH8z
4867,1KEoX725KP0JPm2i71c1kB
2226,5eR6OS3joTAHJToyzehKfu
2408,3kdMzXOcrDIdSWLdONHNK5
1238,1KO8qC9PQwMCEpO0IcQFtB
2444,4U16etRqFWnbIZIh9ZAzTc
2042,4iJ4GYNP01Ea1t4LONNVGS
3249,6s0VPICyn9mb7cen2P9eTX
3264,0NLkVxf0PyxsXBG3EuZcJf
3306,5rsiXpifJ6NLCpdhTgOWU6
2508,6mjy0v7tSdXyO5qyQTuzlz
2866,2qgXrzJsry4KgYoJCpuaul
2113,2Uc8q2ANutjQcstQAhgNru
2063,65kqmmYhTDNmH6yzJsViTl
5386,24mkZlzjjE4N7n38pkF3RS
2775,0tDAZjqnyBMGapyThwQpDL
3454,6spkgjCoSBi5sFzF8wpOrO
1218,5qCpcgqwL1Hum85sAQz3W7
5273,56pZSBGVI5BOlITppHLGVp
1894,2sHmscm6NClVLvPtqk1A73
4565,67ohbCtwk3QTOo2iekx6mg
2201,36ABkxeQACHaLLHob08AzX
4333,4H45AfU8wUeusZnaAri6Zz
2255,4GbEcznuSiPW8HeWubVrVt
3601,6rLNDssC5bnJ2l7N1aRAgu
2744,2VK7Ylm9EmrVuUU4DmYbnk
2497,6vtzDInt4hoWeodAS62CYI
1176,1LfenlmTcE1isHsa0dVFek
1021,2gCTgB4IDQFadmri2zdU6p
1313,3uu7YJ8DpVqGsRjZTv9OdD
2897,0KQ1LhU7vGiXqn7eAw1nfl
1370,1dj44gqRjWmPtoj495glKe
2963,3dxiWIBVJRlqh9xk144rf4
4788,6xzpUzzIquIyUzTLbbgSdI
3115,3V8UKqhEK5zBkBb6d6ub8i
3106,5qlsGohL4JSjYFYnCsljHM
2478,3FtVNlJLb8ZHFtKDWuE9P8
3172,2jRISGsO4RTm9CQVb1Jusn
2276,37GYyTGRnPcP01Ff7ziOoi
1169,6FZDfxM3a3UCqtzo5pxSLZ
2729,2aoo2jlRnM3A0NyLQqMN2f
4045,5YzjOMkTbvTHZ2ervzJIwN
2339,2zWZLuKPDfn7vAjFjmv66y
2896,5RXmLhscstsdvWPN0XtUa0
2548,6pJT4f6S8GPQ7hWCDvygrN
1110,73CbJykoV6WapWGfTeRzTl
1018,4OeFQtRyT7vsLnRTv7t8YT
2051,05K51VGmcBMeKzCB88aIOV
2060,6hwQ69v7VbPhTTR2fOtYX7
1283,6ilc4vQcwMPlvAHFfsTGng
2865,7cMKz5MoUTPH2N4yqpAUAO
1546,14s1OyBVh737J6OyZot7GH
5104,70yTGo4j6gMh3MpbTZP5ZS
2499,0Y5lftJhV50jLIy3xc1alV
2249,4KOp2vA1oaSjfhZM2KvDe5
2419,2hkWgVbqRizZklKGPInc5x
2559,1rpF77jsLBMG2QjCuhe0Sr
2961,2kHDQldORUg2dYR1BOQlWc
2565,79iXIJKvBF0kI8aKZq78PB
1246,23EsgI4ZCW4ONfbFgyVjbl
1392,05NYcsjJwOYq4jIiKPVj9p
3932,3SdTKo2uVsxFblQjpScoHy
2265,1TWDoN2SuVuUZk1OBByZzE
4120,5vSve2QrxwxV6hXh9eXfCY
6871,0MYxxhLNtGA5caezmSsS5k
2712,6xe6zTzAg4XRI9xJoq89cP
1128,3yiyZW5sYNg3VvIejh10sK
4046,0bGJHUPR6ems9tzIljlPFR
8363,6JqwuALkOqCYXMDO3llZUm
4862,4ut0MAyZVq5C5VzKxNTOCk
1718,6jtT0TU60r0ECBtRtNe335
1471,2woOC3CRkSj2Mac0mazL7b
2939,0evYoPRWnnQ6ACNC0LJPul
4252,34vrK3lgywolG3SVyglWax
1004,0aUhJQdCqJ5Xtrb8PoOE0F
5250,6YFZ5CLFmLscqNXc0Q7Qfc
2639,6Bm1t47oFteAWQzfNZSLPG
3181,5JypFayfT1V5OG4xJ8q7jK
1615,6hypt8VPJxeMXTTcRUHS86
4703,24qhW8fqWyrMHqkBfM2HPk
2083,3TBwN5fIDPS8NbypGJKTfn
3899,3ZOEytgrvLwQaqXreDs2Jx
1157,4DYIDSMIB5y2UmZFv9fxeX
2461,0lP4HYLmvowOKdsQ7CVkuq
2804,0EYOdF5FCkgOJJla8DI2Md
2230,1anwKrYwHSzwhT9q5BiX99
5934,6f093eMPKYMcBeHe6IuiBK
1025,5gwK7cLjxrlgwRsioRbI2P
1019,4FxeY2UZeP3kpdBPbpGggN
4553,4SURRUkM1Pba8fGL1qihRi
2067,2IaILbVsOyRkIqEMm64Tdt
3502,0tKjVEJlX3IZ5L1rEJc5hh
2984,6mOQSS2xTtKyiIuqtHjHtA
4940,6HlznqCIW5QbgdJpMbzprF
3276,6n4GPNskH2O3n8vm3NbxaT
2651,2VbqAARrwoNp8cdUj31vzv
2904,07nH4ifBxUB4lZcsf44Brn
2056,0n3E6m57nDZJDyUHllaMDp
5063,6JLms20xagDkDJ1K9bUqDV
5117,1G09oEhz0Tye3xnYYFtvM7
3420,5TwBvXxvk92NwPeARNVOHk
1184,1x1sAvpoyOTpnJnCthiGul
4769,5XMjXjwCkJVmk0AHm7z8IV
4123,27u7t9d7ZQoyjsCROHuZJ3
1411,0KTJrPkd6OmBRtuBG7OsOy
1658,7wCmS9TTVUcIhRalDYFgPy
1262,6wCnpERMZgRELDljSEDKR9
4010,63M2qf6u7HFxl8t0QPWIiw
3004,27d2EeB9ScXlOySDoqWmAv
2337,6156ZPGcezId0Bmw7x7c7K
3659,6FIgrogzF8TRdl8acslqLe
5612,5QgWM6F0Nej8yrgonRJeOC
2549,0vnh0D3xtxMMuG0VO8kr2p
2960,5qSV8ADSv12XSUvA0dy6uy
1647,7cAexYA1vH6srKeIuKySud
1397,5fiBrfg5Gu8GwCGBIBeN2f
3255,4IOd2zjxd8Lh5iW554nkDf
1296,052z2UsE2wPrHsBJ9tly0g
3285,14rZjW3RioG7WesZhYESso
2377,5YqdiryRmdAzYFlxo43hAJ
2026,3uwnnTQcHM1rDqSfA4gQNz
3184,7cWnks0lsRtpAi87COOiXK
1898,2eemPFHIpC4Leycb1wLCbM
4521,0KoiMHhqKLoL4xM54rcWYY
1008,5AjYjRsiIPAKjRP182ocKB
3107,3vrKAVfTM64mCI2jkeekPn
3479,0nLiqZ6A27jJri2VCalIUs
2991,7snsIXBqXSt3XcYAJUiBNr
4572,3gGtlAYUQjUv2EiKtugkhr
2640,3c9IKwzgIPcCweCl9so748
7484,0donCfhuT3BIjytI3Nqsak
1324,7iPlYsBxklzdQe4iVQx7DK
3554,2h5AR8dLBfwmupHzSLUi19
1717,6glefz4t8gUj2YQCGK722E
2908,0EkRiaSjVR6njfczmpMd8P
2557,6wXPV6dNRAhFavrRaCdMXT
2560,3AyuigFWbuirWHvidbMz8O
3483,2t9YRbTqssTVmYn37iRhda
5621,07vontPkjk1Wmkar99vNxp
2605,0N5MJALrQQmuQSoXmMbJBc
1185,0ibYVniVLMJWvc3eNfYk8T
2906,5byUll2f3Zgnli3wJPoKRL
1233,30bS5XmI38EbBExkHAYY9t
5952,6P5Ma1HFYDsgOpLaGu6Jkz
2287,17Wp4bvxnqAIq4reEwa6lm
1251,3CKlLBGEG5JGrrw7Qp6EEj
1412,4Ir2UxDlAm01qmv3eSZYlP
3901,6zlJt9bamNs3uu3d8aRJIQ
3374,19hRqM6tyuq0MLWjxMhcEi
4041,74kCarkFBzXYXNkkYJIsG0
2088,5cYYs1vCd0G69632Cs8pmB
1204,4EO1KrWmRDAaj71pEtKCuC
2675,1BacT2YIvGdosxOjhuk5XV
2800,0S2UfCA5A275xChEi9a6vU
2053,6DVGnL8Pl0wFigEsJk05GE
2217,4ydNnBV9Jnb5YlXb11kFjD
2342,40riOy7x9W7GXjyGp4pjAv
1276,4xtg77OwdwtkvRVpkPoRpv
2619,6s0NHplywwr1IjnQpUpWJk
2905,6MZyrnqwsLnrWY5Gk0AyXg
6990,2nxVqPUy9WTzKHuCWRb9DM
3560,1v2BAMdO99fzwBccyD4dDI
1908,6rMUCgCqwm3A9ztR7w3f3w
7806,4Bm9mh2IiaMU77PuIqIvsR
2161,45PD1shJcUVckmslQycpEL
1012,7mbbGuqfaIIFHImIwu45Xi
5064,2OkrxnSE2OG0bOGjniOCl6
4415,3mX6Ubc0hYBOIWozrGhtkI
4162,2SqYMSkuTzn6vZ36n1Y2tY
2980,1cRUvSDRiFeuC2B1bsyDqo
2644,6uZroCk7E7L7RhY7NAvC3Y
2415,2OgVsp77En2nju8pnCieVU
2156,2LWBOPGmgxCI9awFaBN5JL
3219,4mn2kNTqiGLwaUR8JdhJ1l
4047,60an8Fb1pH1MniTxTlo2l9
2630,1bJAynHEPbXhmaezqhnPTu
3440,5bJ72qsT8pWxgA5G7t4gpd
5393,6Au7CCNN2wXgCNxdavgxDM
3431,6ZoCBDOB308GqUdt2AJrV2
1752,324Y55zUTRSMdtFwc91csa
2279,47wkGrU4Rxv5VbNfHmEqw4
2714,7Fn84f1WeWabP3aFXW5TA8
1026,1bKQ48M9onID2kbSpRy8kK
2863,2Fv2injs4qAm8mJBGaxVKU
1979,28LcejLJ4Yf5096gW8Jqze
2116,1O73ZKgl0THUImkHW6dfAL
4069,6fjK9BfTd4tIxNvyHh0AE6
2938,17skOaQMo12brYlPuytqjq
2977,3Vb8KkT6Ub5fFGPYJCJyLh
5061,1HrMWH5GUdK6Yi94rbANJA
1280,6RTjfgIjWqXIddHwiuI1aI
7687,33q4ENIRByGmdKeRWoIfSm
1271,1eqGYJJr2z2GXK1i0hD3BC
1396,2wbF4sb7IpBMQ7T6Lem10j
2635,7AlbnJNcDgNsINLbj79GOx
1319,5ljWxnZZDIgnLwM6QVtZ6L
4231,4vVue9p2IkdtmqXrpgBYVa
3189,5QjuTblPokfD03fkfHUuVK
4946,6p8eFfPw3nQkf37aT3AkmK
3368,4jJ3rcbPevOdXr6hFIVW45
2064,29yVwAhJ5G9lVwiAYzPOi3
1561,7qMCYAkTTbFOw1hUXvAAje
1472,6mDgWrsTyPknlKoEHlmQ5y
3062,0CsM8VGDi38kusMv3pxyj1
3979,5D4LjcE3KLEUVuJTQxqqTm
2294,0VO8gYVDSwM1Qdd2GsMoYK
1011,3G7Y6YBp2OjIe8hez3HCoq
1934,21aOLk12MksET8AsbU0SI6
2750,6RyaV7owmVU6fzEPE17sF1
2104,6IWZKBeAkeCzaYNE8SmedK
1580,7dsFoAxXjAlvVOXhRkD4sb
2899,3GsnjW91IJGJlMxzNPNXAY
3277,5Pn6spaFtc1kEk2HI86SaW
4096,5Ego6GL1vELZbdnD2wh3Lw
2792,400lQTCx3wYGgqAIHSZbNA
2786,6HAVjFro6OKMcY2xHOP0l7
3459,2AlQvTQjsOEmg3JTzogV33
3462,1fmoCZ6mtMiqA5GHWPcZz9
2590,5w6BjCkSCTx4WIMtf8G89C
1170,0fX4oNGBWO3dSGUZcVdVV2
3120,69bWj2jifC1fbuiMxyGcw5
1301,0VF7YLIxSQKyNiFL3X6MmN
1587,4dVS8rOylV1IMwn0HsQPDH
2507,0re77oDp0Uo09E3h9eOxPx
1346,4OV4EJZXL3KmvqenhDeMtk
1885,1R0hxCA5R7z5TiaXBZR7Mf
4115,1z0p8ODhL1aZFBengxPkZU
1629,37IQaVXOJcr6LE6qzyvbvs
2272,2i84vfr3fIZUMAp61JZfKf
3350,4pOYZ7wg7OaSu35iAwbuDU
2180,6thXUkgo9tuPnujxTKtvFb
1778,2K3jLUSLeHrPMA3nKvP1jT
1507,0WhgArpfTbGnIPFFaWiUqa
2430,1hcvoupy3AqDvFcCLvgZqC
2448,1bw9ZJ8A0EY3Xdp4MVUWjB
1022,1JO1xLtVc8mWhIoE3YaCL0
2231,15C4q7G41cgBApe7hinKc3
1436,5pkLSTZeL9zbvaaq5Cw6XX
2344,0Bu05RUeHcFldgwlpeVuxn
2496,76R8ILULQyyodS91TkAvOf
3544,7xxk2elVJN3IjhbV3T8Shz
6420,6UIo6YbaXihIZ72MWUpcGb
2341,2sZzEKY3DxpY8V87SuYoU2
2386,4dbveKUpOx62SiwXQCALQH
1219,6IF2P93LkyW4GqDQu1yS7H
5679,1IA3GpxXclqpsWgvtV4l3h
1365,3zwmW1gM4E8FlHXV5nE16u
2470,3s1tztTyoN9jUrGyHppPvY
5474,762kwTUXxEWewBbHJBptSV
2366,0A5mmNP2Lk8mfCJjWWQvz7
2244,5PwZqDdJmDqF25solWayeR
2637,6iL0pob2CNH1KNXPsSl9Fo
1741,0lZJPIQoAHNJKYygGh2ylb
1211,1wHvgARsepqm42t42GRlzD
1893,1mvZErZBp7WZT3HfGBykao
1905,1r90s8G6nq0xa3pgL4ZwHX
2069,5oYLnny35ndF8vka1USHMZ
2057,72mwpXU1pVrA1oRdi29jU3
4454,6gW0LWEwnQz5RspQwmR0h2
5636,4EzchO3kZDtrsoDSv262YL
1429,14M68PdZSSMRzTBuJNuxO6
4698,6Jxvq3k2ykdULRoXEG5Vqx
1581,6mZYloxkxpqzi4UBcL8yiH
1200,2KnuaZYoGzDoHiBTNYOTXG
2516,0GO8y8jQk1PkHzS31d699N
4329,2Mtd0VvFbC2mX44EvGq1cq
2367,3fz5wOO1kzz7PEgicojJB1
2251,7jn9ewnbEvgfAU8z2ctQsg
4118,0HT6xI2MTQ7qk4yNA1IZUd
1126,1tpTMUY3JtRUhAwK3h4I2O
2082,3aMIgXaB04SzL68n4lMWLL
2752,6eHPxuuhkQLbu6Up0k8MEO
7346,4F7VK1jSbLpRFZvgL4AOdc
1165,5jI9fVQ1QqUygoNpVRdzu3
4202,6L6TuOAEZHf93tJULIjQrj
1713,3iVvQHWCLGjfY3iFEwV9lO
1439,0B6oBwvkyLptGexpwJVz7c
2109,2lnzGkdtDj5mtlcOW2yRtG
1085,4WRwhaBx0DgjkD5S9jinUL
1350,2QWyALcWJChOa4tKXym9z6
2023,4BoAuxhz1bOHMpeeQk3r8I
3187,6NbxI9HaS06enfoaPqcOLo
1892,5TpYmSOWMmtYLRXdOLdLaW
5941,4KBJ9VeiftjaZtNUM2FtU4
1368,2d6yLElfwKFKp0egmKRnRx
1112,1h9TW0ATqzWMHP9uHSewQT
1252,0g8gKLBFY1Y16Zyrc9fuKA
4798,1Q7HO1L7KO46VlMH8C3Abh
2562,1GzgV0pRSUbenz25xWV2s8
6900,1M8ELg8Fbte7AsJG6kCHXY
1145,4dpNQuxo6xz66pDsvtUR4j
4170,5QAya5bSSiKlh1h4qeeq38
6653,1lHJDa7IGCYwjf10VcmvFb
2500,63oIL8TdR6iO1JxArVadLf
2634,6zXyPzGp9AjpbrOYMQ1sc9
3182,4A065x9kJt955eGVqf813g
5930,3eTkGlxdDL66WJewOd7GP0
1503,6TBhThiR54uzZqd8ftKF0E
4549,699lx9w3KBNADcEauCQHo2
4165,2TwM6FmWDMSBDdKYOsWKdy
6368,5DLOpXvShlphkFSlAIwdDv
2322,0Lb2HpsqNvADo6h3WCSxW4
4055,65QmcUwiTvzgVQuSCO1kLi
7104,7nsvrteisxxfFN4U4BrkjE
2754,1ugRmaf5TDDf1fO3hFSIs1
1709,3omXshBamrREltcf24gYDC
4338,7fYRg3CEbk6rNCuzNzMT06
3692,5DUAKXpyv3nL50PnAQbPS0
5776,5gUINRqrT8H4rI13ulJg39
2281,3n31aIQW6EPdwlwULrGEKZ
1102,5H9VMgnzuU62NYzWdJlqae
2537,5aXTfpNOqLj35ydEiLio67
7253,3Kkjo3cT83cw09VJyrLNwX
